uri,artist,title,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo
spotify:track:1iaTDu4PCIWQQOwwwqq5qW,Said the Sky,All I Got,0.325,0.578,-6.786,0.0455,0.158,0.575,0.103,144.745
spotify:track:6Q3K9gVUZRMZqZKrXovbM2,Kygo,I'll Wait,0.611,0.651,-6.973,0.0587,0.148,0.105,0.357,122.983
spotify:track:75ZKw8JLaFsYr51J44fQ4N,joan,drive all night,0.542,0.758,-5.032,0.0313,0.000184,0.144,0.43,156.128
spotify:track:6Wz9rIfo9tOBcVCd1Mo7F7,Nightly,Twenty Something,0.641,0.589,-6.305,0.0275,0.096,0.208,0.11,100.001
spotify:track:1Srt81FTalOhRw7t7l8Yh8,Lauv,Tattoos Together,0.862,0.4,-7.486,0.0736,0.00575,0.123,0.596,122.963
spotify:track:4NjW9Srshx2xuTdEoUnf9C,TWIN XL,Neon Summer,0.398,0.785,-4.853,0.0424,0.00129,0.109,0.688,75.023
spotify:track:6NdL165hAxSKNnozIA2HDY,TWIN XL,"Don't Wake Me, I'm Still Dreaming",0.388,0.777,-5.194,0.0341,0.0218,0.101,0.218,163.805
spotify:track:7sRdxkgNb3m3Ciai38ANmd,TWIN XL,Good,0.617,0.964,-3.559,0.0355,0.113,0.247,0.961,75.978
spotify:track:0O64j1yLdHg17XDfleKiYH,Delaney Jane,Throwback,0.613,0.731,-3.993,0.0625,0.177,0.107,0.322,107.071
spotify:track:3GweDldi2HrraUKLexWUeb,ayokay,Cassette,0.718,0.56,-6.739,0.0564,0.141,0.148,0.292,75.031
spotify:track:7nvIPwXKGhqtRhssxM99kJ,Bryce Vine,Drew Barrymore,0.758,0.574,-6.889,0.0572,0.46,0.102,0.261,151.985
spotify:track:1ckLp8lCl8LipXI0ypX72m,Post Malone,I'm Gonna Be,0.746,0.559,-4.008,0.0316,0.703,0.148,0.368,117.943
spotify:track:1bPJ6Ay1La8IYPCuCvQA7k,lovelytheband,coachella,0.563,0.646,-6.849,0.0312,0.0664,0.0877,0.288,115.013
spotify:track:2p1onANhkUkyMZKKigOUJu,Kid Travis,Strawberry Skies,0.65,0.462,-6.589,0.0891,0.366,0.159,0.65,89.887
spotify:track:2Z8WXN2oV5dzxTWjscQQr2,Bryce Vine,San Junipero,0.689,0.702,-5.278,0.0356,0.203,0.145,0.562,98.018
spotify:track:7sWRlDoTDX8geTR8zzr2vt,Post Malone,Hollywood's Bleeding,0.405,0.646,-3.206,0.0476,0.331,0.103,0.17,130.218
spotify:track:5W0vgRE9B23TZDj5B7pRUO,lovelytheband,broken - Cash Cash Remix,0.497,0.747,-3.112,0.0894,0.0259,0.0697,0.355,140.81
spotify:track:3yGZzSxHvvQKwMsAtFfNF5,lovelytheband,stupid mistakes,0.697,0.713,-6.567,0.0265,0.133,0.23,0.529,128.974
spotify:track:4akuE3uBD4t5HTXaAEm88t,Talos,See Me,0.436,0.661,-6.034,0.0353,0.247,0.105,0.149,168.043
spotify:track:3LxG9HkMMFP0MZuiw3O2rF,ILLENIUM,Good Things Fall Apart (with Jon Bellion),0.643,0.603,-5.416,0.0311,0.012,0.118,0.42,144.01
spotify:track:6XxrZcC4CnlJy1qyYrrxqZ,Jason Ross,Letting Go (with RUNN),0.367,0.688,-6.11,0.0465,0.167,0.0916,0.219,149.636
spotify:track:4eVE7ruYH5dNGYKT2jd5So,Valley,Swim - Reprise,0.493,0.782,-6.968,0.0353,0.0187,0.321,0.314,104.941
spotify:track:4WjTbrxOPvSwQlajlE4aXH,Lennon Stella,Kissing Other People,0.691,0.662,-5.941,0.0738,0.548,0.119,0.299,94.028
spotify:track:4cB00WOFuQFLoDpnydcx8c,Boy In Space,7UP,0.616,0.469,-7.38,0.027,0.0167,0.111,0.233,135.035
spotify:track:6SL7KzIA96f0HiKjuv7tED,Quinn XCII,U & Us,0.605,0.73,-7.871,0.0425,0.087,0.187,0.263,130.025
