uri,artist,title,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,pc1,pc2,label
spotify:track:1iaTDu4PCIWQQOwwwqq5qW,Said the Sky,All I Got,0.325,0.578,-6.7860000000000005,0.0455,0.158,0.575,0.10300000000000001,144.745,-0.1657223753097354,0.541032581415676,3
spotify:track:6Q3K9gVUZRMZqZKrXovbM2,Kygo,I'll Wait,0.611,0.6509999999999999,-6.973,0.0587,0.14800000000000002,0.105,0.35700000000000004,122.98299999999999,-0.16511381357690016,0.06842484837110711,4
spotify:track:75ZKw8JLaFsYr51J44fQ4N,joan,drive all night,0.542,0.758,-5.032,0.0313,0.000184,0.14400000000000002,0.43,156.128,-0.4479703053785179,0.18922566608999333,3
spotify:track:6Wz9rIfo9tOBcVCd1Mo7F7,Nightly,Twenty Something,0.6409999999999999,0.589,-6.305,0.0275,0.096,0.20800000000000002,0.11,100.001,-0.1256086696093274,0.12902093499757097,4
spotify:track:1Srt81FTalOhRw7t7l8Yh8,Lauv,Tattoos Together,0.862,0.4,-7.486000000000001,0.0736,0.00575,0.12300000000000001,0.596,122.963,-0.09294509129953318,-0.24587179872201656,2
spotify:track:4NjW9Srshx2xuTdEoUnf9C,TWIN XL,Neon Summer,0.39799999999999996,0.785,-4.853,0.0424,0.0012900000000000001,0.109,0.688,75.023,-0.4397535345724857,-0.19275599792224477,0
spotify:track:6NdL165hAxSKNnozIA2HDY,TWIN XL,"Don't Wake Me, I'm Still Dreaming",0.38799999999999996,0.777,-5.194,0.0341,0.0218,0.10099999999999999,0.218,163.805,-0.43809602371851347,0.4783829099982301,3
spotify:track:7sRdxkgNb3m3Ciai38ANmd,TWIN XL,Good,0.617,0.9640000000000001,-3.5589999999999997,0.0355,0.113,0.247,0.961,75.97800000000001,-0.5149010785060985,-0.5825138567727549,0
spotify:track:0O64j1yLdHg17XDfleKiYH,Delaney Jane,Throwback,0.613,0.731,-3.9930000000000003,0.0625,0.177,0.107,0.322,107.071,-0.23414582212666785,-0.0055140685703616394,4
spotify:track:3GweDldi2HrraUKLexWUeb,ayokay,Cassette,0.718,0.56,-6.739,0.0564,0.141,0.14800000000000002,0.292,75.031,-0.04414135639002795,-0.14960164586514416,2
spotify:track:7nvIPwXKGhqtRhssxM99kJ,Bryce Vine,Drew Barrymore,0.758,0.574,-6.888999999999999,0.0572,0.46,0.102,0.261,151.985,0.12184831952674627,0.12222885217153744,6
spotify:track:1ckLp8lCl8LipXI0ypX72m,Post Malone,I'm Gonna Be,0.746,0.5589999999999999,-4.008,0.0316,0.703,0.14800000000000002,0.368,117.943,0.26316405245663066,-0.10095614378883103,2
spotify:track:1bPJ6Ay1La8IYPCuCvQA7k,lovelytheband,coachella,0.563,0.6459999999999999,-6.849,0.0312,0.0664,0.0877,0.28800000000000003,115.01299999999999,-0.22011735520632028,0.13138389561506536,4
spotify:track:2p1onANhkUkyMZKKigOUJu,Kid Travis,Strawberry Skies,0.65,0.462,-6.5889999999999995,0.0891,0.366,0.159,0.65,89.887,0.11433046921344285,-0.28524674979393083,2
spotify:track:2Z8WXN2oV5dzxTWjscQQr2,Bryce Vine,San Junipero,0.6890000000000001,0.7020000000000001,-5.278,0.0356,0.203,0.145,0.562,98.01799999999999,-0.19193307139771848,-0.2441326874380509,0
spotify:track:7sWRlDoTDX8geTR8zzr2vt,Post Malone,Hollywood's Bleeding,0.405,0.6459999999999999,-3.2060000000000004,0.0476,0.331,0.10300000000000001,0.17,130.218,-0.11609744929273969,0.3477535419498942,3
spotify:track:5W0vgRE9B23TZDj5B7pRUO,lovelytheband,broken - Cash Cash Remix,0.49700000000000005,0.747,-3.112,0.0894,0.0259,0.0697,0.355,140.81,-0.4240375063045534,0.19112539415605523,3
spotify:track:3yGZzSxHvvQKwMsAtFfNF5,lovelytheband,stupid mistakes,0.6970000000000001,0.713,-6.567,0.0265,0.133,0.23,0.529,128.974,-0.2564817170507242,-0.09658424217129068,4
spotify:track:4akuE3uBD4t5HTXaAEm88t,Talos,See Me,0.436,0.6609999999999999,-6.034,0.0353,0.247,0.105,0.149,168.043,-0.16450338976462323,0.5104353647661793,3
spotify:track:3LxG9HkMMFP0MZuiw3O2rF,ILLENIUM,Good Things Fall Apart (with Jon Bellion),0.643,0.603,-5.416,0.0311,0.012,0.11800000000000001,0.42,144.01,-0.30086458472669,0.09239350608653821,4
spotify:track:6XxrZcC4CnlJy1qyYrrxqZ,Jason Ross,Letting Go (with RUNN),0.36700000000000005,0.688,-6.11,0.0465,0.16699999999999998,0.0916,0.21899999999999997,149.636,-0.23842719160214387,0.44568168220922294,3
spotify:track:4eVE7ruYH5dNGYKT2jd5So,Valley,Swim - Reprise,0.493,0.782,-6.968,0.0353,0.0187,0.321,0.314,104.941,-0.35447796430335776,0.10754536143321475,4
spotify:track:4WjTbrxOPvSwQlajlE4aXH,Lennon Stella,Kissing Other People,0.691,0.662,-5.941,0.0738,0.5479999999999999,0.11900000000000001,0.299,94.02799999999999,0.15828608573934713,-0.10416631310596233,2
spotify:track:4cB00WOFuQFLoDpnydcx8c,Boy In Space,7UP,0.616,0.469,-7.38,0.027000000000000003,0.0167,0.111,0.233,135.035,-0.13834208702603745,0.23421950175117937,4
spotify:track:6SL7KzIA96f0HiKjuv7tED,Quinn XCII,U & Us,0.605,0.73,-7.871,0.0425,0.087,0.187,0.263,130.025,-0.24529408424983665,0.16362179056273524,4
spotify:track:6BZ6pl5bczDc3cMF1kBaOy,LANY,pink skies,0.7190000000000001,0.631,-6.6160000000000005,0.0433,0.266,0.134,0.466,103.96799999999999,-0.056677679797311524,-0.16707846287632494,2
spotify:track:46lFttIf5hnUZMGvjK0Wxo,Galantis,Runaway (U & I),0.506,0.805,-4.119,0.0469,0.007109999999999999,0.0856,0.38299999999999995,126.008,-0.45335048307830916,0.11666706527970673,3
spotify:track:4AM3fxgUBkEUO6xScrmB9a,Mike Perry,Lighthouse,0.5429999999999999,0.875,-3.033,0.032,0.0795,0.061,0.244,154.936,-0.47349152381058296,0.27629999385045034,3
spotify:track:27YD36FUikKxbp3bKSiKGZ,Seven Lions,First Time (feat. Dylan Matthew),0.42200000000000004,0.677,-5.76,0.0365,0.251,0.16,0.146,150.131,-0.16291072533863546,0.4472421870591898,3
spotify:track:4s9Na0ywXodZXScgvXmJop,Seven Lions,First Time (feat. Dylan Matthew) - Acoustic,0.5579999999999999,0.337,-8.414,0.0311,0.92,0.159,0.397,143.784,0.6007019351749266,0.1733837687958274,1
