artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,time_signature,pc1,pc2,label
Said the Sky,All I Got,0.325,0.578,2,-6.7860000000000005,1,0.0455,0.158,0.00479,0.575,0.10300000000000001,144.745,spotify:track:1iaTDu4PCIWQQOwwwqq5qW,4,-0.1635823579750774,0.5366525073682795,6
Kygo,I'll Wait,0.611,0.6509999999999999,1,-6.973,1,0.0587,0.14800000000000002,1.84e-05,0.105,0.35700000000000004,122.98299999999999,spotify:track:6Q3K9gVUZRMZqZKrXovbM2,4,-0.16251330418816484,0.06845929203656731,0
joan,drive all night,0.542,0.758,9,-5.032,1,0.0313,0.000184,5.63e-06,0.14400000000000002,0.43,156.128,spotify:track:75ZKw8JLaFsYr51J44fQ4N,4,-0.4455439159429856,0.18704289074918365,6
Nightly,Twenty Something,0.6409999999999999,0.589,5,-6.305,0,0.0275,0.096,9.67e-05,0.20800000000000002,0.11,100.001,spotify:track:6Wz9rIfo9tOBcVCd1Mo7F7,4,-0.12284332380806695,0.129876730335536,0
Lauv,Tattoos Together,0.862,0.4,4,-7.486000000000001,1,0.0736,0.00575,7.49e-06,0.12300000000000001,0.596,122.963,spotify:track:1Srt81FTalOhRw7t7l8Yh8,4,-0.08770895374943304,-0.24957604180740248,2
TWIN XL,Neon Summer,0.39799999999999996,0.785,10,-4.853,1,0.0424,0.0012900000000000001,0.0,0.109,0.688,75.023,spotify:track:4NjW9Srshx2xuTdEoUnf9C,4,-0.43767271540754876,-0.19293675707704094,5
TWIN XL,"Don't Wake Me, I'm Still Dreaming",0.38799999999999996,0.777,5,-5.194,0,0.0341,0.0218,1e-06,0.10099999999999999,0.218,163.805,spotify:track:6NdL165hAxSKNnozIA2HDY,4,-0.4368257195923838,0.47797685700773945,6
TWIN XL,Good,0.617,0.9640000000000001,1,-3.5589999999999997,1,0.0355,0.113,0.000225,0.247,0.961,75.97800000000001,spotify:track:7sRdxkgNb3m3Ciai38ANmd,4,-0.5121680724674501,-0.5844819286910221,5
Delaney Jane,Throwback,0.613,0.731,8,-3.9930000000000003,1,0.0625,0.177,0.0,0.107,0.322,107.071,spotify:track:0O64j1yLdHg17XDfleKiYH,4,-0.23220178947890371,-0.003851848245825893,0
ayokay,Cassette,0.718,0.56,1,-6.739,0,0.0564,0.141,0.0,0.14800000000000002,0.292,75.031,spotify:track:3GweDldi2HrraUKLexWUeb,4,-0.04087445486127429,-0.14822338689583517,2
Bryce Vine,Drew Barrymore,0.758,0.574,11,-6.888999999999999,0,0.0572,0.46,0.0027199999999999998,0.102,0.261,151.985,spotify:track:7nvIPwXKGhqtRhssxM99kJ,4,0.12419335176679841,0.12257638315211107,4
Post Malone,I'm Gonna Be,0.746,0.5589999999999999,5,-4.008,1,0.0316,0.703,0.0,0.14800000000000002,0.368,117.943,spotify:track:1ckLp8lCl8LipXI0ypX72m,4,0.26474069340397394,-0.09962561585312604,2
lovelytheband,coachella,0.563,0.6459999999999999,2,-6.849,1,0.0312,0.0664,0.0008789999999999999,0.0877,0.28800000000000003,115.01299999999999,spotify:track:1bPJ6Ay1La8IYPCuCvQA7k,4,-0.21764689190433778,0.13185951319315034,0
Kid Travis,Strawberry Skies,0.65,0.462,11,-6.5889999999999995,0,0.0891,0.366,0.0,0.159,0.65,89.887,spotify:track:2p1onANhkUkyMZKKigOUJu,4,0.11755515407716484,-0.2865124707951545,2
Bryce Vine,San Junipero,0.6890000000000001,0.7020000000000001,2,-5.278,1,0.0356,0.203,0.0005200000000000001,0.145,0.562,98.01799999999999,spotify:track:2Z8WXN2oV5dzxTWjscQQr2,4,-0.18910213036629822,-0.2444642596799869,5
Post Malone,Hollywood's Bleeding,0.405,0.6459999999999999,4,-3.2060000000000004,0,0.0476,0.331,0.0,0.10300000000000001,0.17,130.218,spotify:track:7sWRlDoTDX8geTR8zzr2vt,4,-0.11555611099891579,0.3496099869808175,6
